SALES_LOCATION,SKU_CODE,SKU_DESCRIPTION,CUSTOMER_CODE,ORDERNUMBER,ORDERLINENUMBER,SHIPMENTDATE,SHIPPEDQUANTITY,SHIPPEDVALUE,Invoice Number
CHR1,1725615692,Lemon sorbet 1L,WA,58896,10,6/6/2020,12,$24.38 ,WA5889643988
CHR1,7512592418,Strawberry sorbet 500ml,WA,58896,11,6/6/2020,26,$37.35 ,WA5889643988
CHR1,7807927045,Strawberry sorbet 1L,WA,58896,12,6/6/2020,7,$14.22 ,WA5889643988
CHR1,8532174665,Caramel pecan 500ml,WA,58896,13,6/6/2020,25,$45.05 ,WA5889643988
CHR1,3243814817,Butterscotch Hokey Pokey 500ml,WA,58896,14,6/6/2020,40,$72.08 ,WA5889643988
CHR1,8780554611,Cookies and cream 500ml,WA,58896,15,6/6/2020,24,$43.25 ,WA5889643988
CHR1,1298687562,Cookie dough 500ml,WA,58896,16,6/6/2020,25,$45.05 ,WA5889643988
CHR1,7846604624,Raspberry sorbet 500ml,WA,58896,17,6/6/2020,16,$22.98 ,WA5889643988
CHR1,4448990873,Blueberry sorbet 500ml,WA,58896,18,6/6/2020,9,$12.93 ,WA5889643988
CHR1,8979136562,Coconut sorbet 500ml,WA,58896,19,6/6/2020,9,$12.93 ,WA5889643988
CHR1,9734547755,Strawberry sorbet 10L,FD,46005,1,6/7/2020,2,$17.22 ,FD4600543989
CHR1,6371619495,Coconut sorbet 10L,FD,46005,2,6/7/2020,2,$17.22 ,FD4600543989
CHR1,9399978967,Raspberry sorbet 10L,FD,46005,3,6/7/2020,1,$8.61 ,FD4600543989
CHR1,1684231247,Lemon sorbet 25L,FD,46005,4,6/7/2020,1,$21.16 ,FD4600543989
CHR1,6111690817,Vanilla 50L,FD,46005,5,6/7/2020,1,$36.85 ,FD4600543989
CHR1,9820775571,Vanilla 10L,PI,99007,1,6/7/2020,1,$8.93 ,PI9900743989
CHR1,6584919483,Chocolate 10L,PI,99007,2,6/7/2020,1,$8.93 ,PI9900743989
CHR1,9789508450,Banana 5L,PI,99007,3,6/7/2020,1,$5.29 ,PI9900743989
CHR1,8636807198,Almond 5L,PI,99007,4,6/7/2020,1,$5.59 ,PI9900743989
CHR1,9672735913,Pistacchio 5L,PI,99007,5,6/7/2020,1,$5.59 ,PI9900743989
CHR1,3927126463,Hazulnut 5L,PI,99007,6,6/7/2020,1,$5.59 ,PI9900743989
CHR1,3630781384,Caramel pecan 5L,PI,99007,7,6/7/2020,1,$5.91 ,PI9900743989
CHR1,6667180271,Butterscotch Hokey Pokey 5L,PI,99007,8,6/7/2020,1,$5.91 ,PI9900743989
CHR1,2926651089,Cookies and cream 5L,PI,99007,9,6/7/2020,1,$5.91 ,PI9900743989
CHR1,6303937038,Cookie dough 5L,PI,99007,10,6/7/2020,1,$5.91 ,PI9900743989
CHR1,8342643031,Strawberry sorbet 5L,PI,99007,11,6/7/2020,1,$5.51 ,PI9900743989
CHR1,3050041358,Raspberry sorbet 5L,PI,99007,12,6/7/2020,1,$5.51 ,PI9900743989
CHR1,2054446608,Lemon sorbet 10L,PI,99007,13,6/7/2020,1,$8.61 ,PI9900743989
WEL2,2923276094,Vanilla 500ml,CD,12250,1,6/8/2020,41,$66.91 ,CD1225043990
WEL2,1105523870,Vanilla 1L,CD,12250,2,6/8/2020,60,$114.75 ,CD1225043990
WEL2,3798011027,Vanilla 2L,CD,12250,3,6/8/2020,44,$130.15 ,CD1225043990
WEL2,3838135483,Chocolate 500ml,CD,12250,4,6/8/2020,98,$159.94 ,CD1225043990
WEL2,7875868020,Chocolate 1L,CD,12250,5,6/8/2020,43,$82.24 ,CD1225043990
WEL2,4086930842,Chocolate 2L,CD,12250,6,6/8/2020,11,$32.54 ,CD1225043990
WEL2,6146308559,Banana 500ml,CD,12250,7,6/8/2020,59,$96.29 ,CD1225043990
WEL2,8383046664,Banana 1L,CD,12250,8,6/8/2020,19,$36.34 ,CD1225043990
WEL2,7215963159,Banana 2L,CD,12250,9,6/8/2020,5,$14.79 ,CD1225043990
WEL2,2523086324,Pistacchio 500ml,CD,12250,10,6/8/2020,60,$103.53 ,CD1225043990
WEL2,2504955536,Pistacchio 1L,CD,12250,11,6/8/2020,10,$23.21 ,CD1225043990
WEL2,2338792687,Pistacchio 2L,CD,12250,12,6/8/2020,5,$17.21 ,CD1225043990
WEL2,1668431427,Almond 500ml,CD,12250,13,6/8/2020,64,$110.43 ,CD1225043990
WEL2,4579074420,Almond 1L,CD,12250,14,6/8/2020,11,$25.53 ,CD1225043990
WEL2,3615667094,Almond 2L,CD,12250,15,6/8/2020,5,$17.21 ,CD1225043990
WEL2,2938388444,Hazulnut 500ml,CD,12250,16,6/8/2020,57,$98.35 ,CD1225043990
WEL2,9500349027,Hazulnut 1L,CD,12250,17,6/8/2020,10,$23.21 ,CD1225043990
WEL2,5581472778,Hazulnut 2L,CD,12250,18,6/8/2020,5,$17.21 ,CD1225043990
WEL2,8538325357,Lemon sorbet 500ml,CD,12250,19,6/8/2020,97,$139.34 ,CD1225043990
WEL2,1725615692,Lemon sorbet 1L,CD,12250,20,6/8/2020,29,$58.91 ,CD1225043990
WEL2,3204868990,Lemon sorbet 2L,CD,12250,21,6/8/2020,9,$23.26 ,CD1225043990
WEL2,7512592418,Strawberry sorbet 500ml,CD,12250,22,6/8/2020,85,$122.10 ,CD1225043990
WEL2,7807927045,Strawberry sorbet 1L,CD,12250,23,6/8/2020,29,$58.91 ,CD1225043990
WEL2,6914128351,Strawberry sorbet 2L,CD,12250,24,6/8/2020,9,$23.26 ,CD1225043990
WEL2,2473124490,Caramel pecan 120ml,CD,12250,25,6/8/2020,90,$98.69 ,CD1225043990
WEL2,8532174665,Caramel pecan 500ml,CD,12250,26,6/8/2020,41,$73.88 ,CD1225043990
WEL2,5341027352,Caramel pecan 1L,CD,12250,27,6/8/2020,11,$24.50 ,CD1225043990
WEL2,5285571733,Butterscotch Hokey Pokey 120ml,CD,12250,28,6/8/2020,86,$94.30 ,CD1225043990
WEL2,3243814817,Butterscotch Hokey Pokey 500ml,CD,12250,29,6/8/2020,64,$115.33 ,CD1225043990
WEL2,8038536837,Butterscotch Hokey Pokey 1L,CD,12250,30,6/8/2020,19,$42.31 ,CD1225043990
WEL2,9310654418,Cookies and cream 120ml,CD,12250,31,6/8/2020,90,$98.69 ,CD1225043990
WEL2,8780554611,Cookies and cream 500ml,CD,12250,32,6/8/2020,43,$77.49 ,CD1225043990
WEL2,7710933330,Cookie dough 120ml,CD,12250,33,6/8/2020,78,$85.53 ,CD1225043990
WEL2,1298687562,Cookie dough 500ml,CD,12250,34,6/8/2020,78,$140.56 ,CD1225043990
WEL2,7846604624,Raspberry sorbet 500ml,CD,12250,35,6/8/2020,63,$90.50 ,CD1225043990
WEL2,4413194530,Raspberry sorbet 1L,CD,12250,36,6/8/2020,32,$65.01 ,CD1225043990
WEL2,4448990873,Blueberry sorbet 500ml,CD,12250,37,6/8/2020,41,$58.90 ,CD1225043990
WEL2,7895654818,Blueberry sorbet 1L,CD,12250,38,6/8/2020,20,$40.63 ,CD1225043990
WEL2,8979136562,Coconut sorbet 500ml,CD,12250,39,6/8/2020,42,$60.33 ,CD1225043990
WEL2,9160487777,Coconut sorbet 1L,CD,12250,40,6/8/2020,19,$38.60 ,CD1225043990
CHR1,2923276094,Vanilla 500ml,CO,32396,1,6/8/2020,50,$81.60 ,CO3239643990
CHR1,1105523870,Vanilla 1L,CO,32396,2,6/8/2020,15,$28.69 ,CO3239643990
CHR1,3838135483,Chocolate 500ml,CO,32396,3,6/8/2020,35,$57.12 ,CO3239643990
CHR1,7875868020,Chocolate 1L,CO,32396,4,6/8/2020,11,$21.04 ,CO3239643990
CHR1,6146308559,Banana 500ml,CO,32396,5,6/8/2020,15,$24.48 ,CO3239643990
CHR1,2523086324,Pistacchio 500ml,CO,32396,6,6/8/2020,17,$29.33 ,CO3239643990
CHR1,1668431427,Almond 500ml,CO,32396,7,6/8/2020,12,$20.71 ,CO3239643990
CHR1,2938388444,Hazulnut 500ml,CO,32396,8,6/8/2020,12,$20.71 ,CO3239643990
CHR1,8538325357,Lemon sorbet 500ml,CO,32396,9,6/8/2020,32,$45.97 ,CO3239643990
CHR1,1725615692,Lemon sorbet 1L,CO,32396,10,6/8/2020,9,$18.28 ,CO3239643990
CHR1,7512592418,Strawberry sorbet 500ml,CO,32396,11,6/8/2020,19,$27.29 ,CO3239643990
CHR1,7807927045,Strawberry sorbet 1L,CO,32396,12,6/8/2020,6,$12.19 ,CO3239643990
CHR1,8532174665,Caramel pecan 500ml,CO,32396,13,6/8/2020,20,$36.04 ,CO3239643990
CHR1,3243814817,Butterscotch Hokey Pokey 500ml,CO,32396,14,6/8/2020,32,$57.66 ,CO3239643990
CHR1,8780554611,Cookies and cream 500ml,CO,32396,15,6/8/2020,21,$37.84 ,CO3239643990
CHR1,1298687562,Cookie dough 500ml,CO,32396,16,6/8/2020,21,$37.84 ,CO3239643990
CHR1,7846604624,Raspberry sorbet 500ml,CO,32396,17,6/8/2020,13,$18.67 ,CO3239643990
CHR1,4448990873,Blueberry sorbet 500ml,CO,32396,18,6/8/2020,8,$11.49 ,CO3239643990
CHR1,8979136562,Coconut sorbet 500ml,CO,32396,19,6/8/2020,8,$11.49 ,CO3239643990
WEL2,2923276094,Vanilla 500ml,NW,22248,1,6/9/2020,53,$86.50 ,NW2224843991
WEL2,1105523870,Vanilla 1L,NW,22248,2,6/9/2020,80,$153.00 ,NW2224843991
WEL2,3798011027,Vanilla 2L,NW,22248,3,6/9/2020,60,$177.48 ,NW2224843991
WEL2,3838135483,Chocolate 500ml,NW,22248,4,6/9/2020,123,$200.74 ,NW2224843991
WEL2,7875868020,Chocolate 1L,NW,22248,5,6/9/2020,52,$99.45 ,NW2224843991
WEL2,4086930842,Chocolate 2L,NW,22248,6,6/9/2020,13,$38.45 ,NW2224843991
WEL2,6146308559,Banana 500ml,NW,22248,7,6/9/2020,71,$115.87 ,NW2224843991
WEL2,8383046664,Banana 1L,NW,22248,8,6/9/2020,26,$49.73 ,NW2224843991
WEL2,7215963159,Banana 2L,NW,22248,9,6/9/2020,6,$17.75 ,NW2224843991
WEL2,2523086324,Pistacchio 500ml,NW,22248,10,6/9/2020,71,$122.51 ,NW2224843991
WEL2,2504955536,Pistacchio 1L,NW,22248,11,6/9/2020,13,$30.17 ,NW2224843991
WEL2,2338792687,Pistacchio 2L,NW,22248,12,6/9/2020,6,$20.66 ,NW2224843991
WEL2,1668431427,Almond 500ml,NW,22248,13,6/9/2020,74,$127.69 ,NW2224843991
WEL2,4579074420,Almond 1L,NW,22248,14,6/9/2020,13,$30.17 ,NW2224843991
WEL2,3615667094,Almond 2L,NW,22248,15,6/9/2020,6,$20.66 ,NW2224843991
WEL2,2938388444,Hazulnut 500ml,NW,22248,16,6/9/2020,71,$122.51 ,NW2224843991
WEL2,9500349027,Hazulnut 1L,NW,22248,17,6/9/2020,12,$27.85 ,NW2224843991
WEL2,5581472778,Hazulnut 2L,NW,22248,18,6/9/2020,6,$20.66 ,NW2224843991
WEL2,8538325357,Lemon sorbet 500ml,NW,22248,19,6/9/2020,131,$188.18 ,NW2224843991
WEL2,1725615692,Lemon sorbet 1L,NW,22248,20,6/9/2020,38,$77.20 ,NW2224843991
WEL2,3204868990,Lemon sorbet 2L,NW,22248,21,6/9/2020,12,$31.01 ,NW2224843991
WEL2,7512592418,Strawberry sorbet 500ml,NW,22248,22,6/9/2020,108,$155.14 ,NW2224843991
WEL2,7807927045,Strawberry sorbet 1L,NW,22248,23,6/9/2020,39,$79.23 ,NW2224843991
WEL2,6914128351,Strawberry sorbet 2L,NW,22248,24,6/9/2020,13,$33.59 ,NW2224843991
WEL2,2473124490,Caramel pecan 120ml,NW,22248,25,6/9/2020,112,$122.81 ,NW2224843991
WEL2,8532174665,Caramel pecan 500ml,NW,22248,26,6/9/2020,48,$86.50 ,NW2224843991
WEL2,5341027352,Caramel pecan 1L,NW,22248,27,6/9/2020,12,$26.72 ,NW2224843991
WEL2,5285571733,Butterscotch Hokey Pokey 120ml,NW,22248,28,6/9/2020,104,$114.04 ,NW2224843991
WEL2,3243814817,Butterscotch Hokey Pokey 500ml,NW,22248,29,6/9/2020,81,$145.96 ,NW2224843991
WEL2,8038536837,Butterscotch Hokey Pokey 1L,NW,22248,30,6/9/2020,26,$57.90 ,NW2224843991
WEL2,9310654418,Cookies and cream 120ml,NW,22248,31,6/9/2020,111,$121.71 ,NW2224843991
WEL2,8780554611,Cookies and cream 500ml,NW,22248,32,6/9/2020,48,$86.50 ,NW2224843991
WEL2,7710933330,Cookie dough 120ml,NW,22248,33,6/9/2020,109,$119.52 ,NW2224843991
WEL2,1298687562,Cookie dough 500ml,NW,22248,34,6/9/2020,97,$174.79 ,NW2224843991
WEL2,7846604624,Raspberry sorbet 500ml,NW,22248,35,6/9/2020,71,$101.99 ,NW2224843991
WEL2,4413194530,Raspberry sorbet 1L,NW,22248,36,6/9/2020,39,$79.23 ,NW2224843991
WEL2,4448990873,Blueberry sorbet 500ml,NW,22248,37,6/9/2020,52,$74.70 ,NW2224843991
WEL2,7895654818,Blueberry sorbet 1L,NW,22248,38,6/9/2020,27,$54.85 ,NW2224843991
WEL2,8979136562,Coconut sorbet 500ml,NW,22248,39,6/9/2020,48,$68.95 ,NW2224843991
WEL2,9160487777,Coconut sorbet 1L,NW,22248,40,6/9/2020,25,$50.79 ,NW2224843991
WEL2,2923276094,Vanilla 500ml,FC,12005,1,6/9/2020,50,$81.60 ,FC1200543991
WEL2,1105523870,Vanilla 1L,FC,12005,2,6/9/2020,20,$38.25 ,FC1200543991
WEL2,3838135483,Chocolate 500ml,FC,12005,3,6/9/2020,36,$58.75 ,FC1200543991
WEL2,7875868020,Chocolate 1L,FC,12005,4,6/9/2020,13,$24.86 ,FC1200543991
WEL2,6146308559,Banana 500ml,FC,12005,5,6/9/2020,20,$32.64 ,FC1200543991
WEL2,8383046664,Banana 1L,FC,12005,6,6/9/2020,6,$11.48 ,FC1200543991
WEL2,2523086324,Pistacchio 500ml,FC,12005,7,6/9/2020,20,$34.51 ,FC1200543991
WEL2,2504955536,Pistacchio 1L,FC,12005,8,6/9/2020,3,$6.96 ,FC1200543991
WEL2,1668431427,Almond 500ml,FC,12005,9,6/9/2020,15,$25.88 ,FC1200543991
WEL2,4579074420,Almond 1L,FC,12005,10,6/9/2020,3,$6.96 ,FC1200543991
WEL2,2938388444,Hazulnut 500ml,FC,12005,11,6/9/2020,16,$27.61 ,FC1200543991
WEL2,9500349027,Hazulnut 1L,FC,12005,12,6/9/2020,3,$6.96 ,FC1200543991
WEL2,8538325357,Lemon sorbet 500ml,FC,12005,13,6/9/2020,39,$56.02 ,FC1200543991
WEL2,1725615692,Lemon sorbet 1L,FC,12005,14,6/9/2020,12,$24.38 ,FC1200543991
WEL2,7512592418,Strawberry sorbet 500ml,FC,12005,15,6/9/2020,25,$35.91 ,FC1200543991
WEL2,7807927045,Strawberry sorbet 1L,FC,12005,16,6/9/2020,7,$14.22 ,FC1200543991
WEL2,2473124490,Caramel pecan 120ml,FC,12005,17,6/9/2020,21,$23.03 ,FC1200543991
WEL2,8532174665,Caramel pecan 500ml,FC,12005,18,6/9/2020,15,$27.03 ,FC1200543991
WEL2,5285571733,Butterscotch Hokey Pokey 120ml,FC,12005,19,6/9/2020,21,$23.03 ,FC1200543991
WEL2,3243814817,Butterscotch Hokey Pokey 500ml,FC,12005,20,6/9/2020,43,$77.49 ,FC1200543991
WEL2,9310654418,Cookies and cream 120ml,FC,12005,21,6/9/2020,22,$24.12 ,FC1200543991
WEL2,8780554611,Cookies and cream 500ml,FC,12005,22,6/9/2020,16,$28.83 ,FC1200543991
WEL2,7710933330,Cookie dough 120ml,FC,12005,23,6/9/2020,20,$21.93 ,FC1200543991
WEL2,1298687562,Cookie dough 500ml,FC,12005,24,6/9/2020,24,$43.25 ,FC1200543991
WEL2,7846604624,Raspberry sorbet 500ml,FC,12005,25,6/9/2020,14,$20.11 ,FC1200543991
WEL2,4448990873,Blueberry sorbet 500ml,FC,12005,26,6/9/2020,10,$14.37 ,FC1200543991
WEL2,8979136562,Coconut sorbet 500ml,FC,12005,27,6/9/2020,10,$14.37 ,FC1200543991
CHR1,5073628659,Butterscotch Hokey Pokey 10L,NC,35005,1,6/10/2020,2,$23.48 ,NC3500543992
CHR1,4020955021,Pistacchio 10L,NC,35005,2,6/10/2020,1,$9.66 ,NC3500543992
CHR1,1684231247,Lemon sorbet 25L,NC,35005,3,6/10/2020,1,$21.16 ,NC3500543992
CHR1,6111690817,Vanilla 50L,NC,35005,4,6/10/2020,1,$36.85 ,NC3500543992
CHR1,6664244979,Banana 50L,NC,35005,5,6/10/2020,1,$36.85 ,NC3500543992
CHR1,5073628659,Butterscotch Hokey Pokey 10L,RI,53005,1,6/11/2020,1,$11.74 ,RI5300543993
CHR1,6564777716,Cookies and cream 10L,RI,53005,2,6/11/2020,1,$11.74 ,RI5300543993
CHR1,1684231247,Lemon sorbet 25L,RI,53005,3,6/11/2020,1,$21.16 ,RI5300543993
CHR1,6111690817,Vanilla 50L,RI,53005,4,6/11/2020,1,$36.85 ,RI5300543993
CHR1,9772508320,Chocolate 50L,RI,53005,5,6/11/2020,1,$36.85 ,RI5300543993
CHR1,8646437392,Cookie dough 25L,RI,53005,6,6/11/2020,1,$23.35 ,RI5300543993
WEL2,2473124490,Caramel pecan 120ml,FS,88340,1,6/11/2020,97,$106.36 ,FS8834043993
WEL2,5285571733,Butterscotch Hokey Pokey 120ml,FS,88340,2,6/11/2020,134,$146.93 ,FS8834043993
WEL2,9310654418,Cookies and cream 120ml,FS,88340,3,6/11/2020,102,$111.84 ,FS8834043993
WEL2,7710933330,Cookie dough 120ml,FS,88340,4,6/11/2020,94,$103.07 ,FS8834043993
WEL2,9324908946,Vanilla 120ml,FS,88340,5,6/11/2020,266,$158.27 ,FS8834043993
WEL2,2990398449,Chocolate 120ml,FS,88340,6,6/11/2020,197,$117.22 ,FS8834043993
